transaction_id,user_id,amount,currency,merchant,location,timestamp
txn_00001,user_072,2271.58,USD,Online Gaming Co,NG,2026-01-04T18:55:14.708100
txn_00002,user_013,22.96,USD,Amazon,IN,2025-12-22T21:55:14.708114
txn_00003,user_007,52.66,USD,TravelHub,GB,2025-11-29T08:55:14.708120
txn_00004,user_134,43.25,USD,TravelHub,IN,2025-12-11T13:55:14.708126
txn_00005,user_313,58.86,USD,Amazon,IN,2025-12-06T05:55:14.708130
txn_00006,user_347,96.53,USD,McDonalds,GB,2025-11-02T11:55:14.708134
txn_00007,user_191,31.84,USD,TravelHub,GB,2025-11-15T21:55:14.708138
txn_00008,user_025,4596.53,USD,QuickLoans,RU,2026-01-04T06:55:14.708142
txn_00009,user_282,4167.99,USD,Exotic Jewelry,NG,2026-01-04T17:55:14.708146
txn_00010,user_108,81.24,USD,Amazon,GB,2025-10-12T18:55:14.708151
txn_00011,user_004,29.94,USD,TravelHub,US,2025-11-07T09:55:14.708154
txn_00012,user_323,9.34,USD,Spotify,US,2025-11-03T05:55:14.708158
txn_00013,user_486,79.94,USD,TravelHub,US,2025-10-27T01:55:14.708162
txn_00014,user_239,66.71,USD,TravelHub,IN,2025-12-04T18:55:14.708165
txn_00015,user_272,40.22,USD,Netflix,US,2026-01-02T10:55:14.708168
txn_00016,user_401,67.64,USD,Spotify,US,2025-11-18T23:55:14.708171
txn_00017,user_059,88.43,USD,Electronics Hub,GB,2025-11-28T07:55:14.708174
txn_00018,user_500,84.68,USD,Local Grocery,IN,2025-12-25T01:55:14.708177
txn_00019,user_164,16.39,USD,Local Grocery,GB,2026-01-03T16:55:14.708181
txn_00020,user_349,75.17,USD,Netflix,GB,2025-12-25T07:55:14.708185
txn_00021,user_165,78.22,USD,Local Grocery,US,2025-10-10T00:55:14.708188
txn_00022,user_198,4012.57,USD,AdultWorld,RU,2026-01-03T15:55:14.708192
txn_00023,user_004,42.13,USD,Local Grocery,US,2025-11-03T12:55:14.708195
txn_00024,user_412,61.26,USD,Electronics Hub,US,2025-10-31T05:55:14.708198
txn_00025,user_033,30.51,USD,McDonalds,GB,2025-11-14T07:55:14.708201
txn_00026,user_076,39.76,USD,TravelHub,IN,2025-10-21T02:55:14.708208
txn_00027,user_441,4821.93,USD,Online Gaming Co,NG,2026-01-05T04:55:14.708212
txn_00028,user_480,3983.12,USD,AdultWorld,NG,2026-01-03T23:55:14.708215
txn_00029,user_446,40.94,USD,TravelHub,US,2025-11-23T21:55:14.708219
txn_00030,user_185,29.25,USD,Spotify,IN,2025-11-18T14:55:14.708222
txn_00031,user_012,20.75,USD,TravelHub,US,2025-12-20T13:55:14.708225
txn_00032,user_282,85.14,USD,Uber,IN,2025-11-21T15:55:14.708228
txn_00033,user_307,82.95,USD,Local Grocery,IN,2025-10-18T23:55:14.708232
txn_00034,user_015,49.91,USD,Uber,US,2025-11-02T19:55:14.708235
txn_00035,user_409,13.69,USD,McDonalds,GB,2025-11-27T06:55:14.708238
txn_00036,user_310,64.08,USD,Electronics Hub,GB,2026-01-04T21:55:14.708242
txn_00037,user_076,96.04,USD,McDonalds,IN,2025-12-26T21:55:14.708245
txn_00038,user_016,1837.69,USD,LuxuryStore,NG,2026-01-04T20:55:14.708248
txn_00039,user_209,1780.47,USD,Online Gaming Co,BR,2026-01-04T09:55:14.708251
txn_00040,user_153,16.24,USD,Spotify,US,2026-01-04T10:55:14.708254
txn_00041,user_036,77.27,USD,Local Grocery,GB,2025-12-23T12:55:14.708257
txn_00042,user_484,11.46,USD,Local Grocery,IN,2025-12-22T18:55:14.708260
txn_00043,user_348,20.56,USD,TravelHub,IN,2025-12-08T01:55:14.708264
txn_00044,user_443,97.52,USD,Local Grocery,US,2025-11-17T19:55:14.708267
txn_00045,user_001,69.09,USD,Netflix,IN,2025-12-16T19:55:14.708270
txn_00046,user_155,32.67,USD,Local Grocery,IN,2025-10-06T11:55:14.708273
txn_00047,user_393,17.89,USD,Software Store,US,2025-12-20T05:55:14.708276
txn_00048,user_430,36.54,USD,Local Grocery,IN,2025-10-20T12:55:14.708279
txn_00049,user_350,65.31,USD,Amazon,GB,2025-10-14T14:55:14.708284
txn_00050,user_361,37.5,USD,TravelHub,GB,2025-10-19T10:55:14.708287
txn_00051,user_339,20.83,USD,Local Grocery,GB,2025-10-22T20:55:14.708290
txn_00052,user_385,63.05,USD,Starbucks,IN,2025-11-09T23:55:14.708293
txn_00053,user_172,2264.74,USD,LuxuryStore,CN,2026-01-03T12:55:14.708296
txn_00054,user_109,8.58,USD,Amazon,IN,2025-11-13T15:55:14.708301
txn_00055,user_169,4440.59,USD,QuickLoans,CN,2026-01-04T19:55:14.708304
txn_00056,user_318,3214.67,USD,LuxuryStore,CN,2026-01-03T11:55:14.708307
txn_00057,user_010,817.85,USD,Online Gaming Co,CN,2026-01-03T13:55:14.708310
txn_00058,user_365,31.23,USD,Software Store,IN,2025-11-16T20:55:14.708314
txn_00059,user_286,45.6,USD,Electronics Hub,GB,2025-11-15T18:55:14.708318
txn_00060,user_031,43.78,USD,Local Grocery,IN,2025-11-23T06:55:14.708322
txn_00061,user_071,798.65,USD,Exotic Jewelry,RU,2026-01-04T20:55:14.708324
txn_00062,user_017,79.22,USD,Spotify,US,2025-12-05T11:55:14.708328
txn_00063,user_188,29.97,USD,Electronics Hub,GB,2025-11-29T17:55:14.708331
txn_00064,user_279,58.15,USD,Software Store,US,2026-01-03T20:55:14.708334
txn_00065,user_179,71.23,USD,McDonalds,GB,2025-10-25T16:55:14.708337
txn_00066,user_428,53.91,USD,Software Store,IN,2025-12-11T08:55:14.708341
txn_00067,user_236,59.56,USD,Starbucks,IN,2025-11-06T11:55:14.708344
txn_00068,user_319,14.45,USD,TravelHub,IN,2025-11-02T19:55:14.708348
txn_00069,user_291,2490.96,USD,QuickLoans,RU,2026-01-04T12:55:14.708351
txn_00070,user_048,14.16,USD,Uber,IN,2025-11-17T23:55:14.708354
txn_00071,user_349,92.55,USD,TravelHub,GB,2025-11-05T04:55:14.708358
txn_00072,user_211,60.28,USD,Starbucks,IN,2025-10-31T14:55:14.708362
txn_00073,user_311,95.71,USD,Starbucks,IN,2025-11-17T17:55:14.708365
txn_00074,user_118,3555.33,USD,LuxuryStore,RU,2026-01-03T21:55:14.708368
txn_00075,user_484,78.35,USD,Local Grocery,IN,2025-12-11T03:55:14.708371
txn_00076,user_104,55.24,USD,Software Store,IN,2025-10-15T05:55:14.708374
txn_00077,user_464,13.13,USD,Spotify,US,2025-10-27T04:55:14.708377
txn_00078,user_334,67.46,USD,Amazon,GB,2025-11-17T02:55:14.708380
txn_00079,user_397,32.63,USD,Local Grocery,GB,2025-11-23T13:55:14.708384
txn_00080,user_138,52.2,USD,Electronics Hub,IN,2025-12-19T04:55:14.708387
txn_00081,user_348,85.8,USD,Software Store,US,2025-12-18T06:55:14.708390
txn_00082,user_028,49.83,USD,Spotify,IN,2025-12-01T20:55:14.708393
txn_00083,user_377,59.81,USD,Uber,GB,2025-10-12T05:55:14.708397
txn_00084,user_292,33.19,USD,McDonalds,US,2025-10-10T14:55:14.708400
txn_00085,user_053,26.54,USD,Uber,IN,2025-12-02T04:55:14.708403
txn_00086,user_259,98.15,USD,Local Grocery,US,2025-10-17T00:55:14.708408
txn_00087,user_123,46.01,USD,Local Grocery,IN,2025-10-06T16:55:14.708411
txn_00088,user_166,3520.21,USD,Exotic Jewelry,NG,2026-01-04T20:55:14.708414
txn_00089,user_060,90.33,USD,Netflix,GB,2025-12-11T11:55:14.708417
txn_00090,user_022,46.78,USD,Uber,IN,2025-12-24T20:55:14.708422
txn_00091,user_497,4147.78,USD,Exotic Jewelry,BR,2026-01-03T17:55:14.708425
txn_00092,user_288,92.04,USD,Starbucks,IN,2025-12-31T17:55:14.708428
txn_00093,user_402,61.61,USD,Uber,GB,2025-11-22T04:55:14.708432
txn_00094,user_170,30.48,USD,Netflix,US,2025-12-22T06:55:14.708435
txn_00095,user_398,8.57,USD,Starbucks,GB,2025-12-06T22:55:14.708438
txn_00096,user_207,97.09,USD,Local Grocery,GB,2025-10-21T12:55:14.708441
txn_00097,user_330,97.66,USD,Uber,US,2025-12-24T12:55:14.708444
txn_00098,user_430,51.19,USD,Netflix,GB,2025-10-09T19:55:14.708448
txn_00099,user_173,29.07,USD,Amazon,GB,2025-10-25T17:55:14.708451
txn_00100,user_423,85.9,USD,Local Grocery,US,2025-11-21T03:55:14.708454
txn_00101,user_193,35.55,USD,Uber,US,2026-01-02T10:55:14.708458
txn_00102,user_006,39.94,USD,Local Grocery,US,2025-10-09T07:55:14.708461
txn_00103,user_465,37.21,USD,Local Grocery,US,2025-12-20T10:55:14.708464
txn_00104,user_117,37.46,USD,Software Store,US,2025-12-29T01:55:14.708467
txn_00105,user_024,18.87,USD,Electronics Hub,IN,2025-11-28T01:55:14.708470
txn_00106,user_222,17.78,USD,Netflix,IN,2025-10-14T01:55:14.708474
txn_00107,user_185,23.01,USD,Electronics Hub,US,2025-12-04T08:55:14.708478
txn_00108,user_098,78.97,USD,Amazon,IN,2025-12-27T15:55:14.708481
txn_00109,user_134,46.82,USD,McDonalds,GB,2025-12-11T08:55:14.708484
txn_00110,user_384,81.51,USD,Starbucks,IN,2026-01-04T18:55:14.708488
txn_00111,user_033,17.85,USD,Electronics Hub,GB,2025-10-12T01:55:14.708491
txn_00112,user_201,2680.13,USD,AdultWorld,CN,2026-01-05T07:55:14.708493
txn_00113,user_437,64.73,USD,Local Grocery,GB,2025-11-25T19:55:14.708497
txn_00114,user_404,41.59,USD,Electronics Hub,GB,2026-01-04T04:55:14.708500
txn_00115,user_324,43.14,USD,TravelHub,GB,2025-10-11T11:55:14.708503
txn_00116,user_380,89.58,USD,Amazon,US,2025-10-19T06:55:14.708506
txn_00117,user_265,10.46,USD,Electronics Hub,GB,2025-12-11T12:55:14.708510
txn_00118,user_291,22.77,USD,Local Grocery,US,2025-10-07T12:55:14.708513
txn_00119,user_316,65.99,USD,Amazon,US,2025-10-13T18:55:14.708516
txn_00120,user_016,13.53,USD,Electronics Hub,GB,2025-10-07T20:55:14.708519
txn_00121,user_103,82.42,USD,Local Grocery,GB,2025-12-13T19:55:14.708522
txn_00122,user_186,95.08,USD,Electronics Hub,IN,2025-12-27T14:55:14.708526
txn_00123,user_236,86.27,USD,Starbucks,US,2025-10-07T06:55:14.708531
txn_00124,user_303,2025.84,USD,LuxuryStore,BR,2026-01-04T05:55:14.708534
txn_00125,user_006,89.87,USD,Netflix,IN,2025-11-28T09:55:14.708538
txn_00126,user_462,87.03,USD,Local Grocery,GB,2025-12-20T21:55:14.708541
txn_00127,user_174,5.94,USD,Software Store,GB,2025-12-04T18:55:14.708545
txn_00128,user_165,67.6,USD,Starbucks,GB,2025-11-27T00:55:14.708548
txn_00129,user_495,77.96,USD,Electronics Hub,GB,2026-01-04T17:55:14.708552
txn_00130,user_291,35.08,USD,Uber,US,2025-11-10T04:55:14.708555
txn_00131,user_231,67.6,USD,Spotify,US,2025-12-24T07:55:14.708558
txn_00132,user_268,8.83,USD,Software Store,IN,2025-12-11T20:55:14.708562
txn_00133,user_119,63.19,USD,Electronics Hub,US,2025-12-03T15:55:14.708569
txn_00134,user_076,21.44,USD,Starbucks,US,2026-01-01T15:55:14.708575
txn_00135,user_341,93.68,USD,Amazon,US,2025-11-26T18:55:14.708580
txn_00136,user_221,89.99,USD,Starbucks,US,2025-11-21T10:55:14.708584
txn_00137,user_437,76.89,USD,Electronics Hub,GB,2025-10-07T22:55:14.708589
txn_00138,user_089,68.98,USD,Uber,GB,2025-10-27T21:55:14.708593
txn_00139,user_267,22.51,USD,Local Grocery,US,2025-12-21T12:55:14.708596
txn_00140,user_071,91.98,USD,McDonalds,GB,2025-12-11T16:55:14.708599
txn_00141,user_257,60.41,USD,Electronics Hub,IN,2025-12-01T14:55:14.708602
txn_00142,user_408,48.2,USD,Software Store,US,2025-11-15T01:55:14.708605
txn_00143,user_126,59.68,USD,Amazon,IN,2025-10-12T08:55:14.708608
txn_00144,user_016,55.57,USD,Spotify,US,2025-12-11T23:55:14.708612
txn_00145,user_455,66.89,USD,McDonalds,IN,2025-10-25T09:55:14.708615
txn_00146,user_190,923.55,USD,LuxuryStore,RU,2026-01-05T04:55:14.708620
txn_00147,user_087,18.1,USD,Starbucks,GB,2025-10-20T18:55:14.708623
txn_00148,user_174,25.16,USD,Amazon,IN,2025-11-16T13:55:14.708626
txn_00149,user_381,57.81,USD,Amazon,US,2025-11-22T05:55:14.708629
txn_00150,user_116,27.74,USD,McDonalds,US,2025-11-16T08:55:14.708632
txn_00151,user_309,35.46,USD,Electronics Hub,GB,2025-11-08T19:55:14.708636
txn_00152,user_388,44.05,USD,Software Store,US,2025-12-17T11:55:14.708639
txn_00153,user_314,3779.27,USD,LuxuryStore,NG,2026-01-04T05:55:14.708642
txn_00154,user_007,81.64,USD,McDonalds,IN,2025-10-24T01:55:14.708646
txn_00155,user_223,43.14,USD,McDonalds,IN,2025-11-22T06:55:14.708649
txn_00156,user_420,1169.7,USD,AdultWorld,NG,2026-01-05T09:55:14.708652
txn_00157,user_006,2174.02,USD,LuxuryStore,BR,2026-01-04T11:55:14.708655
txn_00158,user_303,64.77,USD,Software Store,GB,2025-10-14T19:55:14.708658
txn_00159,user_010,48.31,USD,Amazon,US,2025-10-15T17:55:14.708661
txn_00160,user_261,29.82,USD,Local Grocery,IN,2025-11-18T22:55:14.708664
txn_00161,user_395,1884.17,USD,Online Gaming Co,BR,2026-01-03T15:55:14.708667
txn_00162,user_336,77.92,USD,Uber,IN,2025-10-12T11:55:14.708670
txn_00163,user_111,2822.34,USD,Exotic Jewelry,CN,2026-01-04T11:55:14.708673
txn_00164,user_042,81.66,USD,Local Grocery,GB,2025-11-11T18:55:14.708676
txn_00165,user_487,31.19,USD,Netflix,US,2025-12-31T10:55:14.708679
txn_00166,user_239,28.04,USD,Local Grocery,GB,2025-12-20T15:55:14.708684
txn_00167,user_165,30.61,USD,Spotify,US,2025-12-12T01:55:14.708687
txn_00168,user_268,78.13,USD,Software Store,IN,2025-10-31T00:55:14.708690
txn_00169,user_418,28.04,USD,Netflix,GB,2025-12-09T21:55:14.708693
txn_00170,user_163,3857.66,USD,AdultWorld,RU,2026-01-03T21:55:14.708696
txn_00171,user_414,17.3,USD,McDonalds,GB,2025-11-29T07:55:14.708700
txn_00172,user_451,76.1,USD,McDonalds,GB,2025-12-14T03:55:14.708703
txn_00173,user_113,53.93,USD,Software Store,US,2025-12-24T18:55:14.708707
txn_00174,user_206,2225.52,USD,Online Gaming Co,BR,2026-01-04T20:55:14.708710
txn_00175,user_036,30.46,USD,Local Grocery,US,2025-12-27T14:55:14.708713
txn_00176,user_029,4654.36,USD,Exotic Jewelry,RU,2026-01-04T15:55:14.708717
txn_00177,user_037,9.51,USD,Spotify,US,2025-12-12T19:55:14.708720
txn_00178,user_331,61.21,USD,Software Store,IN,2025-12-08T19:55:14.708723
txn_00179,user_135,17.59,USD,Starbucks,GB,2025-12-05T15:55:14.708726
txn_00180,user_162,6.88,USD,Amazon,GB,2025-11-24T23:55:14.708729
txn_00181,user_214,41.12,USD,McDonalds,IN,2025-12-10T19:55:14.708732
txn_00182,user_326,9.77,USD,Netflix,GB,2025-11-20T11:55:14.708735
txn_00183,user_072,43.05,USD,Electronics Hub,GB,2026-01-02T18:55:14.708738
txn_00184,user_011,77.34,USD,Spotify,IN,2025-12-03T21:55:14.708741
txn_00185,user_468,80.25,USD,Local Grocery,GB,2025-10-12T12:55:14.708746
txn_00186,user_014,36.67,USD,McDonalds,GB,2025-10-28T15:55:14.708750
txn_00187,user_352,51.57,USD,Amazon,US,2025-12-07T17:55:14.708753
txn_00188,user_486,27.71,USD,Software Store,US,2025-11-14T20:55:14.708757
txn_00189,user_107,30.67,USD,Uber,US,2025-10-25T22:55:14.708760
txn_00190,user_451,98.43,USD,Local Grocery,IN,2025-10-09T11:55:14.708763
txn_00191,user_401,66.85,USD,McDonalds,GB,2025-11-12T09:55:14.708766
txn_00192,user_077,587.21,USD,QuickLoans,CN,2026-01-05T05:55:14.708769
txn_00193,user_180,85.01,USD,Spotify,IN,2025-12-28T07:55:14.708772
txn_00194,user_032,59.4,USD,Uber,US,2025-11-22T12:55:14.708775
txn_00195,user_298,15.56,USD,Electronics Hub,GB,2025-12-18T03:55:14.708778
txn_00196,user_434,66.29,USD,Spotify,US,2025-12-24T00:55:14.708781
txn_00197,user_116,82.8,USD,TravelHub,IN,2025-12-18T17:55:14.708784
txn_00198,user_128,5.88,USD,Amazon,IN,2025-12-27T05:55:14.708787
txn_00199,user_333,48.02,USD,Starbucks,IN,2025-11-03T22:55:14.708825
txn_00200,user_447,85.3,USD,TravelHub,GB,2025-12-13T20:55:14.708828
txn_00201,user_477,71.18,USD,Netflix,US,2025-12-26T07:55:14.708831
txn_00202,user_428,68.54,USD,Uber,IN,2025-11-28T17:55:14.708835
txn_00203,user_271,2192.67,USD,AdultWorld,BR,2026-01-04T16:55:14.708838
txn_00204,user_234,50.6,USD,Starbucks,IN,2025-10-26T08:55:14.708841
txn_00205,user_026,18.57,USD,Spotify,IN,2025-11-29T20:55:14.708845
txn_00206,user_229,3436.69,USD,LuxuryStore,NG,2026-01-05T01:55:14.708848
txn_00207,user_310,6.98,USD,Starbucks,IN,2025-10-25T17:55:14.708851
txn_00208,user_318,29.46,USD,Spotify,US,2025-11-02T12:55:14.708855
txn_00209,user_054,77.75,USD,TravelHub,US,2025-11-06T14:55:14.708858
txn_00210,user_479,94.9,USD,Spotify,GB,2025-11-01T13:55:14.708861
txn_00211,user_062,77.15,USD,Amazon,US,2025-11-04T01:55:14.708864
txn_00212,user_324,4255.01,USD,Exotic Jewelry,BR,2026-01-03T09:55:14.708867
txn_00213,user_286,60.43,USD,Netflix,IN,2025-12-01T15:55:14.708870
txn_00214,user_387,3613.02,USD,AdultWorld,CN,2026-01-03T12:55:14.708873
txn_00215,user_297,1375.11,USD,AdultWorld,NG,2026-01-04T01:55:14.708878
txn_00216,user_461,27.82,USD,Software Store,GB,2025-10-27T07:55:14.708881
txn_00217,user_031,36.19,USD,Uber,GB,2025-12-04T15:55:14.708885
txn_00218,user_420,40.13,USD,Spotify,US,2025-12-28T21:55:14.708888
txn_00219,user_435,38.25,USD,Electronics Hub,US,2025-11-06T01:55:14.708898
txn_00220,user_212,69.02,USD,McDonalds,GB,2025-11-06T04:55:14.708901
txn_00221,user_442,16.85,USD,Starbucks,US,2025-12-13T21:55:14.708905
txn_00222,user_416,53.83,USD,Spotify,US,2025-12-07T07:55:14.708908
